ts_utc;kind;side;price_hint;range_id;message_id;confidence
2025-11-13T13:43:54Z;range_open;SELL;4229.0;2025-11-13-4;14174;0.95
2025-11-13T14:09:04Z;range_close;;;2025-11-13-4;14196;
2025-11-14T08:15:33Z;range_open;BUY;4174.0;2025-11-14-1;14207;0.95
2025-11-14T08:17:43Z;range_close;;;2025-11-14-1;14215;
2025-11-14T08:38:14Z;range_open;SELL;4186.0;2025-11-14-2;14217;0.95
2025-11-14T08:42:25Z;range_close;;;2025-11-14-2;14225;
2025-11-14T08:57:48Z;range_open;BUY;4171.0;2025-11-14-3;14227;0.95
2025-11-14T09:06:22Z;range_close;;;2025-11-14-3;14236;
2025-11-14T09:27:17Z;range_open;BUY;4169.0;2025-11-14-4;14238;0.95
2025-11-14T10:10:23Z;range_close;;;2025-11-14-4;14245;
2025-11-14T11:09:49Z;range_open;BUY;4158.0;2025-11-14-5;14249;0.95
2025-11-14T11:35:46Z;range_close;;;2025-11-14-5;14252;
2025-11-14T11:56:41Z;range_open;BUY;4132.0;2025-11-14-6;14256;0.95
2025-11-14T12:03:04Z;range_close;;;2025-11-14-6;14267;
2025-11-14T13:21:46Z;range_open;BUY;4080.0;2025-11-14-7;14284;0.95
2025-11-14T14:39:52Z;range_close;;;2025-11-14-7;14285;
2025-11-17T08:07:57Z;range_open;BUY;4093.0;2025-11-17-1;14294;0.90
2025-11-17T08:19:13Z;range_close;;;2025-11-17-1;14307;
2025-11-17T10:01:54Z;range_open;BUY;4085.0;2025-11-17-2;14309;0.90
2025-11-17T10:35:59Z;range_close;;;2025-11-17-2;14325;
2025-11-17T10:54:07Z;range_open;BUY;4070.0;2025-11-17-3;14327;0.90
2025-11-17T11:08:35Z;range_close;;;2025-11-17-3;14330;
2025-11-17T12:32:24Z;range_open;BUY;4084.0;2025-11-17-4;14336;0.90
2025-11-17T13:01:52Z;range_close;;;2025-11-17-4;14348;
2025-11-17T13:06:34Z;range_open;BUY;4088.0;2025-11-17-5;14350;0.90
2025-11-17T13:27:25Z;range_close;;;2025-11-17-5;14363;
2025-11-18T08:08:10Z;range_open;BUY;4023.0;2025-11-18-1;14368;0.90
2025-11-18T12:58:32Z;range_close;;;2025-11-18-1;14380;
2025-11-18T13:05:11Z;range_open;BUY;4045.0;2025-11-18-2;14385;0.90
2025-11-18T13:12:17Z;range_close;;;2025-11-18-2;14395;
2025-11-18T13:25:10Z;range_open;BUY;4048.0;2025-11-18-3;14397;0.90
2025-11-18T13:27:45Z;range_close;;;2025-11-18-3;14399;
2025-11-18T13:34:50Z;range_open;BUY;4054.0;2025-11-18-4;14401;0.90
2025-11-18T14:55:17Z;range_close;;;2025-11-18-4;14403;
2025-11-19T08:12:38Z;range_open;BUY;4079.0;2025-11-19-1;14409;0.90
2025-11-19T08:27:19Z;range_close;;;2025-11-19-1;14416;
2025-11-19T08:50:55Z;range_open;BUY;4080.0;2025-11-19-2;14418;0.90
2025-11-19T09:12:38Z;range_close;;;2025-11-19-2;14435;
2025-11-19T09:22:06Z;range_open;BUY;4091.0;2025-11-19-3;14437;0.90
2025-11-19T15:46:03Z;range_close;;;2025-11-19-3;14443;
2025-11-20T08:02:18Z;range_open;BUY;4057.0;2025-11-20-1;14450;0.90
